window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
83,104960,106240,410.0,415.0,1,0.9666666666666667,OK,0.04145051399973454,0.041471452999758185
84,106240,107520,415.0,420.0,1,0.6666666666666666,OK,0.044063811999876634,0.04408472100021754
85,107520,108800,420.0,425.0,1,0.8333333333333334,OK,0.053074886000104016,0.05309827900009623
86,108800,110080,425.0,430.0,1,1.0,OK,0.03257657399990421,0.03260050800008685
87,110080,111360,430.0,435.0,1,0.9,OK,0.04417109999985769,0.044208429000264005
88,111360,112640,435.0,440.0,1,1.0,OK,0.05784843399987949,0.05787281900029484
89,112640,113920,440.0,445.0,1,0.9333333333333333,OK,0.03690295399974275,0.03691983499993512
90,113920,115200,445.0,450.0,1,0.9333333333333333,OK,0.05902285800038953,0.05904327600001125
91,115200,116480,450.0,455.0,1,0.9,OK,0.07597690800002965,0.0759944810001798
92,116480,117760,455.0,460.0,1,1.0,OK,0.03126419399995939,0.031280845000310364
93,117760,119040,460.0,465.0,1,1.0,OK,0.03789782599960745,0.037920107999980246
94,119040,120320,465.0,470.0,1,0.6333333333333333,OK,0.09621396500006085,0.096229884999957
95,120320,121600,470.0,475.0,1,0.9666666666666667,OK,0.06962321399987559,0.06964101700032188
96,121600,122880,475.0,480.0,1,0.8333333333333334,OK,0.04840259499997046,0.04841879500008872
97,122880,124160,480.0,485.0,0,0.1,OK,0.10135133699986909,0.10136847900002977
98,124160,125440,485.0,490.0,0,0.13333333333333333,OK,0.10112269399996876,0.10114692900015143
99,125440,126720,490.0,495.0,1,0.6666666666666666,OK,0.05440583000017796,0.054425435999746696
100,126720,128000,495.0,500.0,1,0.9,OK,0.0888704490002965,0.08888835299967468
101,128000,129280,500.0,505.0,1,1.0,OK,0.06302971600007368,0.06304825000006531
102,129280,130560,505.0,510.0,0,0.0,OK,0.058751745999870764,0.05876898799988339
103,130560,131840,510.0,515.0,0,0.3,OK,0.07326112800001283,0.07328095599996232
104,131840,133120,515.0,520.0,1,1.0,OK,0.10147510499973578,0.10149365999996007
105,133120,134400,520.0,525.0,1,0.5,OK,0.08958275700024387,0.08960049999996045
106,134400,135680,525.0,530.0,1,0.6333333333333333,OK,0.06745055100009267,0.06746749200010527
107,135680,136960,530.0,535.0,0,0.03333333333333333,OK,0.10085519699987344,0.10087219900015043
108,136960,138240,535.0,540.0,0,0.0,OK,0.09127875700005461,0.09129650999966543
