window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
60,75520,76800,295.0,300.0,1,0.8333333333333334,OK,0.10026841999979297,0.10028571200018632
61,76800,78080,300.0,305.0,0,0.36666666666666664,OK,0.10011011799997505,0.10012778000009348
62,78080,79360,305.0,310.0,1,0.9666666666666667,OK,0.09991648899995198,0.09993374200030303
63,79360,80640,310.0,315.0,1,0.9666666666666667,OK,0.03907718999971621,0.039096124000025156
64,80640,81920,315.0,320.0,1,1.0,OK,0.039384848000281636,0.03940700899966032
65,81920,83200,320.0,325.0,1,0.8,OK,0.032980875999783166,0.0329991900002824
66,83200,84480,325.0,330.0,1,1.0,OK,0.0994082399997751,0.09943068200027483
67,84480,85760,330.0,335.0,1,1.0,OK,0.02571584299994356,0.02574053800026377
68,85760,87040,335.0,340.0,1,0.9666666666666667,OK,0.025987433999944187,0.026005748999978096
69,87040,88320,340.0,345.0,1,0.7333333333333333,OK,0.023599187999934657,0.023625326999990648
70,88320,89600,345.0,350.0,1,1.0,OK,0.05603299299991704,0.056059983000068314
71,89600,90880,350.0,355.0,1,1.0,OK,0.036625676000312524,0.03664310900012424
72,90880,92160,355.0,360.0,1,1.0,OK,0.03451685600020937,0.034535080999830825
73,92160,93440,360.0,365.0,1,0.9,OK,0.021301188999586884,0.021325533999970503
74,93440,94720,365.0,370.0,1,1.0,OK,0.028862189999927068,0.028879663000225264
75,94720,96000,370.0,375.0,1,1.0,OK,0.10020707700005005,0.10022382700026355
76,96000,97280,375.0,380.0,1,1.0,OK,0.029738049999650684,0.029759670000203187
77,97280,98560,380.0,385.0,1,0.9666666666666667,OK,0.05187960300008854,0.05189754499997434
78,98560,99840,385.0,390.0,1,1.0,OK,0.03909389000000374,0.039115050000418705
79,99840,101120,390.0,395.0,1,0.9,OK,0.044695537999814405,0.04471731900002851
80,101120,102400,395.0,400.0,1,1.0,OK,0.02382290199966519,0.02384603500013327
