window,start_sample,end_sample,start_time_sec,end_time_sec,prediction,probability,status,latency_from_function_sec,computation_time_sec
103,130560,131840,510.0,515.0,1,1.0,OK,0.043229117000009865,0.04324856200037175
104,131840,133120,515.0,520.0,1,1.0,OK,0.04193085600036284,0.041954129000259854
105,133120,134400,520.0,525.0,1,0.9333333333333333,OK,0.05289258599987079,0.052912924000338535
106,134400,135680,525.0,530.0,1,0.6333333333333333,OK,0.03338081599940779,0.03339751699968474
107,135680,136960,530.0,535.0,1,1.0,OK,0.053199081999991904,0.05321867899965582
108,136960,138240,535.0,540.0,1,0.9666666666666667,OK,0.023407263000081002,0.023427049999554583
109,138240,139520,540.0,545.0,1,1.0,OK,0.03878353599975526,0.03880387299977883
110,139520,140800,545.0,550.0,0,0.4,OK,0.033145721000437334,0.03316930500022863
111,140800,142080,550.0,555.0,1,1.0,OK,0.04970007300016732,0.0497192670000004
112,142080,143360,555.0,560.0,1,0.5333333333333333,OK,0.022798298000452633,0.02281615999982023
113,143360,144640,560.0,565.0,1,0.7666666666666667,OK,0.034245164000822115,0.03426304799995705
114,144640,145920,565.0,570.0,1,1.0,OK,0.039035110999975586,0.039051981999364216
115,145920,147200,570.0,575.0,1,0.7333333333333333,OK,0.03665951899984066,0.036678192999715975
116,147200,148480,575.0,580.0,1,1.0,OK,0.029709727999943425,0.02972724999926868
117,148480,149760,580.0,585.0,1,1.0,OK,0.03094256700023834,0.03096017000007123
118,149760,151040,585.0,590.0,1,1.0,OK,0.02746352400026808,0.02748329099995317
119,151040,152320,590.0,595.0,1,0.9,OK,0.04194081400055438,0.04195947900007013
120,152320,153600,595.0,600.0,1,0.8666666666666667,OK,0.035011461000067357,0.03502864300025976
