timestampMs,poorSignal,AF7,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1755966458863,26,331,"7,27E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458863,26,284,"6,24E+04",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458863,26,277,"6,09E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458864,26,-371,"-8,15E+10",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458864,26,-664,"-1,46E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458864,26,-817,"-1,80E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458864,26,-265,"-5,82E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458864,26,233,"5,12E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458865,26,843,"1,85E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458865,26,849,"1,87E+08",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458865,26,229,"5,03E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458865,26,307,"6,75E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458865,26,298,"6,55E+05",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458866,26,-274,"-6,02E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458866,26,-871,"-1,91E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458866,26,-707,"-1,55E+12",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458866,26,-202,"-4,44E+11",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458867,26,308,"6,77E+04",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
1755966458867,26,425,"9,34E+06",0,0,0,74352,949915,9586,124845,6396,84352,4644,605745,Tag0,unknown
